"","DBN","School Name","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","School Type","Parent Response Rate","frl_percent","ell_percent","asian_per","black_per","hispanic_per","white_per","male_per","female_per","sped_percent","total_enrollment","Num of SAT Test Takers"
"1","01M292","Henry Street School For International Studies","355","404","363","Middle/High School","26%",88.6,22.3,14,29.1,53.8,1.7,61.4,38.6,24.9,422,"29"
"2","01M448","University Neighborhood High School","383","423","366","High School","26%",71.8,21.1,29.2,22.6,45.9,2.3,57.4,42.6,21.8,394,"91"
"3","01M450","East Side Community School","377","402","370","Middle/High School","29%",71.8,5,9.7,23.9,55.4,10.4,54.7,45.3,26.4,598,"70"
"4","01M458","Forsyth Satellite Academy","414","401","359","Transfer High School","17%",72.8,4,2.2,34.4,59.4,3.6,43.3,56.7,8.9,224,"7"
"5","01M509","Marta Valle High School","390","433","384","High School","13%",80.7,11.2,9.3,31.6,56.9,1.6,46.3,53.7,25.9,367,"44"
"6","01M515","Lower East Side Preparatory High School","332","557","316","Transfer High School","76%",77,80.6,84.7,5.2,8.9,0.9,53.7,46.3,1.2,562,"112"
"7","01M539","New Explorations Into Science, Technology And Math","522","574","525","Elementary/Middle/High School","60%",23,0.2,27.8,11.7,14.2,44.9,49.2,50.8,2.7,1613,"159"
"8","01M650","Cascades High School","417","418","411","Transfer High School","29%",69.8,3.2,0.5,45.4,49.5,4.1,39.9,60.1,6.9,218,"18"
"9","01M696","Bard High School Early College","624","604","628","High School","47%",18,0.2,15.1,15.1,18.2,49.8,31.3,68.7,0.8,617,"130"
"10","02M047","47 The American Sign Language And English Secondar","395","400","387","High School","48%",66.9,8,1.7,32.2,59.2,6.3,42.5,57.5,32.2,174,"16"
"11","02M288","Food And Finance High School","409","393","392","High School","7%",68.4,2.1,3,44.1,47.6,4.8,45,55,18.5,433,"62"
"12","02M294","Essex Street Academy","394","384","378","High School","29%",60.8,3.8,4.1,27.7,60.6,7.6,53.4,46.6,20.4,343,"53"
"13","02M296","High School Of Hospitality Management","374","375","362","High School","41%",72.4,9.5,5.3,26.5,66.1,2.1,32.2,67.8,14.8,419,"58"
"14","02M298","Pace High School","423","438","432","High School","78%",56.7,2.2,10.1,32.4,42,3.9,43.7,56.3,13.8,414,"85"
"15","02M300","Urban Assembly School Of Design And Construction,","404","449","416","High School","30%",75.3,10.9,6,29.2,59.2,4.9,74.9,25.1,20,431,"48"
"16","02M303","Facing History School, The","353","358","340","High School","73%",75.6,20.8,0.7,23.5,73.2,2.4,50.6,49.4,21.7,451,"76"
"17","02M305","Urban Assembly Academy Of Government And Law, The","375","388","385","High School","9%",68.3,6.1,3.8,41.7,50.6,3.5,43.9,56.1,17,312,"50"
"18","02M308","Lower Manhattan Arts Academy","403","392","405","High School","13%",62.2,3.9,9.5,30.7,55.7,3.6,39.9,60.1,24.7,336,"40"
"19","02M313","James Baldwin School, The: A School For Expedition","408","390","390","Transfer High School","16%",51,4.8,4,34.3,54.4,6.5,52.4,47.6,12.9,248,"69"
"20","02M316","Urban Assembly School Of Business For Young Women,","373","370","384","High School","60%",74.9,2.6,3.4,46.8,48.4,1.3,0,100,15.6,378,"42"
"21","02M374","Gramercy Arts High School","391","391","394","High School","68%",59,3,2.8,45.3,45.1,6.7,26.3,73.7,12.3,495,"60"
"22","02M376","Nyc Ischool","473","483","479","High School","37%",34.6,0.5,11.5,20.6,43,24,48.7,51.3,10.9,433,"92"
"23","02M392","Manhattan Business Academy","s","s","s","High School","17%",64,9.9,6.6,29.5,58.7,4.8,59,41,13.9,332,"s"
"24","02M393","Business Of Sports School","s","s","s","High School","26%",58.7,7.6,1.6,35.5,57.2,4.3,72.4,27.6,21.4,304,"s"
"25","02M394","Emma Lazarus High School","319","512","357","Transfer High School","95%",97,82.8,62.4,7.2,26.4,4,51.2,48.8,0,250,"79"
"26","02M399","The High School For Language And Diplomacy","s","s","s","High School","15%",80.8,28.3,44.3,15.6,32.8,5.3,48,52,16.8,244,"s"
"27","02M400","High School For Environmental Studies","465","493","461","High School","10%",56.4,7.1,16.7,14.8,57.2,11.1,50.4,49.6,14.4,1394,"263"
"28","02M407","Institute For Collaborative Education","492","465","467","Middle/High School","30%",17.9,0.4,6.3,10.2,17.6,54.6,55.2,44.8,8.8,489,"54"
"29","02M408","Professional Performing Arts High School","509","490","523","Middle/High School","45%",23.5,2,7,19.1,23.7,41.8,25.3,74.7,3.2,502,"94"
"30","02M411","Baruch College Campus High School","496","563","518","High School","29%",54.6,1.6,60.6,5.8,14.6,18.8,44,56,2.3,432,"104"
"31","02M412","N.Y.C. Lab School For Collaborative Studies","537","590","550","High School","27%",21.6,1.6,29.4,8.5,14,45.9,47,53,15,579,"114"
"32","02M413","School Of The Future High School","517","533","515","Middle/High School","46%",31,2.1,16,12.3,26,38,50.8,49.2,14.6,673,"66"
"33","02M414","N.Y.C. Museum School","468","492","459","High School","50%",51.6,0.5,33,11.7,39.9,15.4,42.4,57.6,9.4,436,"103"
"34","02M416","Eleanor Roosevelt High School","572","594","592","High School","39%",15.8,0.2,17.2,5.5,11.6,63.7,32.5,67.5,1.2,507,"127"
"35","02M418","Millennium High School","528","553","533","High School","47%",32.7,0.2,30,8.8,21.7,35.9,38.2,61.8,9.1,626,"144"
"36","02M419","Landmark High School","390","399","381","High School","45%",83.1,15.7,5.2,18.1,74.8,1.9,48.5,51.5,18.8,421,"62"
"37","02M420","High School For Health Professions And Human Servi","429","449","428","High School","48%",68,4,20.5,24.4,49.7,5.3,29.4,70.6,10.9,1768,"336"
"38","02M425","Leadership And Public Service High School","416","426","391","High School","6%",74.2,5.4,8.1,30.5,54.2,6.6,46.1,53.9,18.6,607,"84"
"39","02M427","Manhattan Academy For Arts & Language","s","s","s","High School","61%",97.5,86.9,6.3,8,84.6,1.1,54.9,45.1,6.9,175,"s"
"40","02M429","Legacy School For Integrated Studies","356","357","349","High School","21%",93.9,8.2,1.4,45.2,51.4,1.7,49,51,22.4,294,"29"
"41","02M437","Hudson High School Of Learning Technologies","s","s","s","High School","47%",61.5,8.8,5.8,23.5,62.4,6.6,60.6,39.4,16.4,226,"s"
"42","02M438","International High School At Union Square","s","s","s","High School","28%",82.8,94.9,40.3,12.5,43.2,3.4,61.4,38.6,0.6,176,"s"
"43","02M439","Manhattan Village Academy","441","473","458","High School","74%",60.3,3.7,6.3,16.8,71.8,4.9,38.5,61.5,8.2,429,"95"
"44","02M440","Bayard Rustin Educational Complex","378","365","368","High School","20%",75.5,26,6.3,27.9,62.5,2.4,63.9,36.1,13.5,208,"59"
"45","02M449","Vanguard High School","395","416","388","High School","19%",69.5,6.1,9.9,25.7,59,4.5,46.2,53.8,17.3,444,"72"
"46","02M459","Manhattan International High School","376","460","391","High School","39%",80.7,77.5,33.5,14.8,36.9,14.5,44.3,55.7,0.3,325,"49"
"47","02M460","Washington Irving High School","373","387","360","High School","24%",66,18.6,4.8,34.3,58.2,2.3,47.5,52.5,17.2,1032,"151"
"49","02M475","Stuyvesant High School","679","735","682","High School","23%",30.3,0,72.1,1.2,2.4,23.7,59.3,40.7,0.4,3297,"832"
"50","02M489","High School Of Economics And Finance","443","489","442","High School","47%",60.8,6.3,24.8,22.5,43.5,8.8,54.5,45.5,11.9,809,"167"
"51","02M500","Unity Center For Urban Technologies","370","349","351","High School","75%",83.5,15.6,3.8,35,55.3,2.5,62.4,37.6,32.9,237,"25"
"52","02M519","Talent Unlimited High School","469","472","475","High School","30%",45.5,0.2,4.5,36,39.3,19.8,21.4,78.6,3.5,491,"81"
"53","02M520","Murry Bergtraum High School For Business Careers","407","440","393","High School","4%",72.7,10.2,10.5,39.9,46.6,2.3,49.1,50.9,14.1,2073,"264"
"54","02M529","Jacqueline Kennedy Onassis High School","414","425","400","High School","16%",73,9.8,5.1,22.7,69.9,1.8,40.6,59.4,13.7,724,"131"
"55","02M531","Repertory Company High School For Theatre Arts","429","404","420","High School","36%",65.3,0.5,1.4,47.9,42.4,7.4,21.2,78.8,5.1,217,"42"
"56","02M542","Manhattan Bridges High School","336","378","344","High School","68%",83.5,72.6,0.2,0,99.8,0,51.4,48.6,1.7,541,"66"
"57","02M543","New Design High School","391","395","382","High School","5%",66.1,5.4,3.8,30.3,62.2,2.6,38.3,61.7,17.5,423,"73"
"58","02M544","Independence High School","389","371","335","Transfer High School","19%",74.4,3.8,4.3,33.5,59.6,2,51.2,48.8,11.5,391,"14"
"59","02M545","High School For Dual Language And Asian Studies","412","581","431","High School","47%",82.6,38.2,89.5,3.4,4,2.3,51.3,48.7,2.3,353,"78"
"60","02M550","Liberty High School Academy For Newcomers","368","436","352","Transfer High School","76%",79.5,90.2,25.7,19.9,42.1,11.8,61,39,2,397,"26"
"61","02M551","The Urban Assembly New York Harbor School","405","423","384","High School","35%",73.5,4.2,2.3,37.4,49.3,10.2,60.9,39.1,17.9,430,"77"
"62","02M560","High School M560 - City As School","498","440","477","Transfer High School","4%",38.1,1.3,4.8,37.7,38.8,17.4,43.6,56.4,9.3,605,"56"
"63","02M565","Urban Academy Laboratory High School","527","508","512","Transfer High School","11%",32.1,1.3,5.1,33.8,38.2,20.4,40.8,59.2,0,157,"30"
"64","02M570","Satellite Academy High School","350","337","345","Transfer High School","33%",72.8,6.5,1.6,35.1,59.7,2.8,38.7,61.3,14.1,248,"33"
"65","02M575","Manhattan Comprehensive Night And Day High School","345","517","343","Transfer High School","35%",85.6,60,35.3,31,28.3,5,56.1,43.9,2.4,807,"121"
"66","02M580","Richard R. Green High School Of Teaching","408","384","403","High School","42%",67,6.4,2.3,35.1,59.3,2.3,32.6,67.4,21.8,610,"84"
"67","02M586","Harvey Milk High School","458","416","429","Transfer High School","37%",75.7,1.5,5.9,38.2,39.7,16.2,47.1,52.9,22.1,68,"9"
"68","02M600","The High School Of Fashion Industries","423","423","411","High School","25%",68.3,2.8,3.8,39.1,52.3,4.1,7.3,92.7,11.5,1599,"335"
"69","02M605","Humanities Preparatory Academy","426","403","426","Transfer High School","25%",54,1,7.3,21.9,57.8,11.5,42.7,57.3,6.8,192,"36"
"70","02M615","Chelsea Career And Technical Education High School","399","418","390","High School","28%",69.8,6.2,7.1,29.6,60.5,1.5,65,35,15.7,466,"83"
"71","02M620","Norman Thomas High School","370","379","359","High School","41%",81.1,19.3,1.6,25.6,70.6,2,52,48,15.5,1127,"154"
"72","02M625","High School Of Graphic Communication Arts","395","382","376","High School","26%",72.7,9.1,3.1,30.3,63.8,2.6,46.5,53.5,17.2,1433,"191"
"73","02M630","Art And Design High School","444","441","430","High School","22%",53.3,1.6,9,26.8,51,12.6,46.7,53.3,11.1,1344,"270"
"74","02M655","Life Sciences Secondary School","409","424","403","Middle/High School","9%",70.3,7.9,3.3,28.6,64.3,2.4,51.6,48.4,19.7,717,"61"
"75","03M283","Manhattan Theatre Lab High School","406","379","408","High School","6%",59.6,8.6,1.7,46,49.4,2.2,31.8,68.2,10.5,409,"27"
"76","03M299","High School For Arts, Imagination And Inquiry","374","384","374","High School","21%",66.4,14.4,1,37.3,58.9,1.4,55.7,44.3,19.6,418,"49"
